Plant Type,Family,Common Name,Genus,Organism,BLH ,BLTVA,BCTV,Barcode,Query,Sequences,Collection Date,Time Period,Region,Site,Plant BLH collected from
Flowering Shrub,Lauraceae,Spicebush,Lindera,Lindera fragrans,2,0,0,trnF,bc1112--bc1142,7,2019-06-03,Early June,Mattawa ,RDR,Russian thistle
Weed,Linaceae,Narrow Leaf Flax,Linum,Linum bienne,74,1,1,ITS,bc1146--bc1154,10,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Grass,Poaceae,Perennial Ryegrass,Lolium,Lolium perenne,166,0,0,ITS,bc1135--bc1140,4,2019-08-02,Early August,Pasco,WSU,Pigweed
Grass,Poaceae,Annual Ryegrass,Lolium,Lolium rigidum,122,1,0,ITS,bc1133--bc1154,19,2019-07-11,Early July,Paterson,529,Russian thistle
Grass,Poaceae,Annual Ryegrass,Lolium,Lolium rigidum,160,0,0,ITS,bc1124--bc1154,2,2019-08-01,Early August,Paterson,475,Kochia
Weed,Fabaceae,Wild Legume,Lotus,Lotus japonicus,175,0,0,ITS,bc1148--bc1173,2,2019-08-02,Early August,Pasco,WSU,Russian thistle
Flowering Shrub,Solanaceae,Goji Berry,Lycium,Lycium barbarum,1,1,0,ITS,bc1133--bc1140,12,2019-06-03,Early June,Mattawa ,RDR,Russian thistle
Flowering Shrub,Solanaceae,Goji Berry,Lycium,Lycium barbarum,73,1,0,ITS,bc1150--bc1154,3,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Flowering Shrub,Solanaceae,African Boxthorn,Lycium,Lycium ferocissimum,56,0,0,trnF,bc1142--bc1178,3,2019-06-21,Late June,Pasco,WSU,Pigweed
Flowering Shrub,Solanaceae,African Boxthorn,Lycium,Lycium ferocissimum,92,0,0,trnF,bc1120--bc1143,7,2019-07-05,Early July,Mattawa,WSU,Potato
Flowering Shrub,Solanaceae,African Boxthorn,Lycium,Lycium ferocissimum,175,0,0,trnF,bc1112--bc1169,11,2019-08-02,Early August,Pasco,WSU,Russian thistle
Weed,Malvaceae,Little Mallow,Malva,Malva parviflora,56,0,0,ITS,bc1140--bc1156,2,2019-06-21,Late June,Pasco,WSU,Pigweed
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,43,0,0,ITS,bc1155--bc1157 ,23,2019-06-14,Early June,Pasco,WSU,Kochia
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,69,1,0,ITS,bc1133--bc1155,6,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,70,0,0,ITS,bc1134--bc1155,8,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,73,1,0,ITS,bc1150--bc1154,5,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,74,1,1,ITS,bc1146--bc1154,2,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,82,1,0,ITS,bc1153--bc1154,4,2019-07-03,Early July,Mattawa ,RDJ,Kochia
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,91,0,1,ITS,bc1140--bc1148,40,2019-07-05,Early July,Mattawa,WSU,Potato
Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,92,0,0,ITS,bc1150--bc1189,5,2019-07-05,Early July,Mattawa,WSU,Potato
