"","Df","SumOfSqs","R2","F","Pr(>F)"
"splines::ns(sample_date, df = 5)",5,9.99797113749327,0.161663774168797,10.2925258592277,0.001
"BCTV",1,0.70355207678509,0.011376196479588,3.62139870381715,0.006
"Year",2,8.16299706441023,0.131992870934837,21.0087269754079,0.001
"CPt",1,0.280356616131868,0.0045332706059836,1.44308164209519,0.302
"region",4,1.07249382345964,0.0173418583519416,1.38011380759346,0.378
"BCTV:Year",2,0.634549009265093,0.010260440475585,1.63310935713648,0.227
"Residual",211,40.9923072113491,0.662831588983267,NA,NA
"Total",226,61.8442269388943,1,NA,NA
