Plant Type,Family,Common Name,Genus,Organism,OTU,Sequences,Pairwise Identity,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA,BCTV,S citri,Notes
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,6,2,100.00%,190,bc1107--bc1120,trnF,Late May,2020-05-27,Pasco,M,Kochia,F,1,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,11,11,99.80%,193,bc1107--bc1109,trnF,Late May,2020-05-27,Pasco,M,Kochia,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,13,39,100.00%,198,bc1107--bc1110,trnF,Late May,2020-05-27,Pasco,M,Russian thistle,F,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,10,39,100.00%,211,bc1108--bc1112,trnF,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,5,14,100.00%,217,bc1108--bc1113,trnF,Early June,2020-06-03,Moxee,A,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,6,24,100.00%,232,bc1108--bc1110,trnF,Early June,2020-06-03,Moxee,A,Russian thistle,F,1,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,11,84,100.00%,345,bc1120--bc1142,trnF,Early June,2020-06-03,Mattawa,B,Russian thistle,F,1,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,13,11,100.00%,358,bc1109--bc1142,trnF,Early June,2020-06-03,Mattawa,C,Russian thistle,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,4,3,100.00%,369,bc1100--bc1143,trnF,Early June,2020-06-03,Mattawa,D,Russian thistle,F,1,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,,100.00%,391,bc1114--bc1143,trnF,Early June,2020-06-12,Pasco,N,Kochia,F,1,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,5,14,100.00%,457,bc1110--bc1143,trnF,Late June,2020-06-17,Moxee,A,Russian thistle,F,1,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,2,99.70%,468,bc1100--bc1144,trnF,Late June,2020-06-17,Othello,E,Russian thistle,F,1,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,5,4,100.00%,482,bc1110--bc1144,trnF,Late June,2020-06-17,Othello,F,Russian thistle,F,1,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,6,5,100.00%,496,bc1097--bc1105,trnF,Late June,2020-06-25,Paterson,I,Russian thistle,F,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,10,7,100.00%,504,bc1100--bc1105,trnF,Late June,2020-06-25,Pasco,M,Netseed LambsquaRussian thistleers,F,1,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,33,100,100.00%,508,bc1105--bc1113,trnF,Late June,2020-06-25,Pasco,M,Kochia,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,105,389,100.00%,556,bc1100--bc1107,trnF,Early July,2020-07-01,Mattawa,B,Russian thistle,F,1,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,7,14,100.00%,558,bc1108--bc1114,trnF,Early July,2020-07-01,Othello,E,Russian thistle,F,1,1,0,Faintly positive for bctv
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,60,51,99.80%,577,bc1106--bc1176,trnF,Late July,2020-07-15,Mattawa,D,Potato,F,0,1,1,RADseq
