Plant Type,Family,Common Name,Genus,Organism,OTU,Sequences,Pairwise Identity,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA,BCTV,S citri,Notes
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,3868,1537,99.60%,217,bc1140--bc1153,ITS,Early June,2020-06-03,Moxee,A,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,106,2,99.40%,227,bc1153--bc1189,ITS,Early June,2020-06-03,Moxee,A,Russian thistle,F,0,0,1,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,3,6,99.60%,0,bc1140--bc1299,,,,,,,,,,,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,1,35,99.80%,0,bc1153--bc1339,,,,,,,,,,,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,4,3,99.60%,0,bc1153--bc1339,,,,,,,,,,,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,5,2,99.80%,0,bc1153--bc1339,,,,,,,,,,,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,6,2,99.50%,0,bc1153--bc1339,,,,,,,,,,,
Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,7,2,97.50%,0,bc1153--bc1339,,,,,,,,,,,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,8,15,100.00%,108,bc1110--bc1175,trnF,Late May,2020-05-18,Mattawa,C,Potato,M,0,1,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,9,9,100.00%,9,bc1103--bc1112,trnF,Late April,2020-04-22,Pasco,WSU,Tumble mustard,F,0,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,54,2,99.40%,9,bc1150--bc1171,ITS,Late April,2020-04-22,Pasco,WSU,Tumble mustard,F,0,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,4,2,99.90%,18,bc1150--bc1155,ITS,Late May,2020-05-18,Moxee,A,Flixweed,F,0,0,0,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,23,11,98.90%,127,bc1152--bc1173,ITS,Late May,2020-05-18,Othello,F,Kochia,F,0,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,16,26,98.40%,153,bc1152--bc1155,ITS,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,3,10,100.00%,182,bc1107--bc1114,trnF,Late May,2020-05-27,Pasco,N,Tumble mustard,F,1,1,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,413,46,99.00%,190,bc1153--bc1171,ITS,Late May,2020-05-27,Pasco,M,Kochia,F,1,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,2221,614,99.00%,198,bc1153--bc1192,ITS,Late May,2020-05-27,Pasco,M,Russian thistle,F,0,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,2679,1013,99.40%,199,bc1153--bc1173,ITS,Late May,2020-05-27,Pasco,M,Russian thistle,F,1,1,0,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,4,9,100.00%,201,bc1108--bc1111,trnF,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,30,3,100.00%,211,bc1153--bc1155,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,1,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,39,101,99.70%,509,bc1105--bc1114,trnF,Late June,2020-06-25,Pasco,M,Kochia,F,0,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,1,106,100.00%,509,bc1133--bc1191,ITS,Late June,2020-06-25,Pasco,M,Kochia,F,0,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,26,167,100.00%,558,bc1108--bc1114,trnF,Early July,2020-07-01,Othello,E,Russian thistle,F,1,1,0,Faintly positive for bctv
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,30,,100.00%,558,bc1134--bc1190,ITS,Early July,2020-07-01,Othello,E,Russian thistle,F,1,1,0,Faintly positive for bctv
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,7,23,100.00%,577,bc1106--bc1176,trnF,Late July,2020-07-15,Mattawa,D,Potato,F,0,1,1,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,2,4,100.00%,616,bc1134--bc1189,ITS,Late July,2020-07-16,Paterson,J,Russian thistle,F,1,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,11,2,99.80%,671,bc1123--bc1173,ITS,Early August,2020-08-12,Othello,G,Kochia,F,1,0,0,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,5,12,100.00%,671,bc1105--bc1177,trnF,Early August,2020-08-12,Othello,G,Kochia,F,1,0,0,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,4,8,100.00%,787,bc1169--bc1177,trnF,Late August,2020-08-27,Othello,E,Kochia,F,1,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,722,644,100.00%,16,bc1150--bc1173,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,27,7,100.00%,46,bc1111--bc1175,trnF,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,,1,0,0,RADseq
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,17,9,99.20%,107,bc1146--bc1189,ITS,Late May,2020-05-18,Mattawa,C,Potato,,1,1,0,Extracted by Gina
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,6,4,100.00%,299,bc1100--bc1142,trnF,Early June,2020-06-03,Mattawa,B,Russian thistle,,1,1,0,Missing abdomen
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,2,13,99.20%,0,bc1153--bc1310,,,,,,,,,,,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,4,3,98.80%,0,bc1153--bc1310,,,,,,,,,,,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium quinoa,5,2,100.00%,614,bc1107--bc1176,trnF,Late July,2020-07-16,Paterson,J,Russian thistle,F,1,1,0,RADseq
Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,348,237,99.60%,171,bc1140--bc1152,ITS,Late May,2020-05-27,Paterson,J,Russian thistle,M,0,0,1,
Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,21,2,99.20%,153,bc1152--bc1155,ITS,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Tree,Rutaceae,Cam sành,Citrus,Citrus benikoji,2,10,100.00%,190,bc1107--bc1120,trnF,Late May,2020-05-27,Pasco,M,Kochia,F,1,0,0,RADseq
Tree,Rutaceae,Cam sành,Citrus,Citrus benikoji,2,20,100.00%,22,bc1105--bc1110,trnF,Late May,2020-05-18,Moxee,A,Tumble mustard,,0,0,0,Extracted by Gina
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,12,13,100.00%,39,bc1106--bc1109,trnF,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,1,1,0,RADseq
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,202,48,96.40%,198,bc1153--bc1192,ITS,Late May,2020-05-27,Pasco,M,Russian thistle,F,0,0,0,RADseq
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,23,17,99.00%,201,bc1153--bc1154,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,0,0,RADseq
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,5,3,99.00%,0,bc1153--bc1310,,,,,,,,,,,
Crop,Cucurbitaceae,pumpkin or winter squash,Cucurbita,Cucurbita pepo,270,90,97.60%,37,bc1146--bc1172,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,M,0,1,0,RADseq
Crop,Cucurbitaceae,pumpkin or winter squash,Cucurbita,Cucurbita pepo,2,7,97.80%,792,bc1124--bc1171,ITS,Late August,2020-08-27,Othello,E,Russian thistle,M,0,1,0,Faintly positive for bctv
Crop,Apiaceae,carrot,Daucus,Daucus carota,163,55,97.50%,171,bc1140--bc1152,ITS,Late May,2020-05-27,Paterson,J,Russian thistle,M,0,0,1,
Crop,Apiaceae,carrot,Daucus,Daucus carota,4,2,99.90%,509,bc1133--bc1191,ITS,Late June,2020-06-25,Pasco,M,Kochia,F,0,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,1697,598,98.80%,37,bc1146--bc1172,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,M,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,58,2,99.80%,108,bc1152--bc1170,ITS,Late May,2020-05-18,Mattawa,C,Potato,M,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,250,140,99.00%,171,bc1140--bc1152,ITS,Late May,2020-05-27,Paterson,J,Russian thistle,M,0,0,1,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,68,11,100.00%,9,bc1150--bc1171,ITS,Late April,2020-04-22,Pasco,WSU,Tumble mustard,F,0,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,195,381,99.50%,12,bc1150--bc1191,ITS,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,3,25,99.50%,28,bc1146--bc1171,ITS,Late May,2020-05-18,Moxee,A,Kochia,F,0,0,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,16,4,93.20%,39,bc1106--bc1109,trnF,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,1,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,748,631,100.00%,39,bc1146--bc1190,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,1,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,2039,447,99.00%,41,bc1146--bc1191,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,23,4,100.00%,61,bc1146--bc1154,ITS,Late May,2020-05-18,Mattawa,B,Russian thistle,F,0,0,1,Faintly positive for s citri
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,82,2,99.80%,99,bc1140--bc1146,ITS,Late May,2020-05-18,Mattawa,C,Kochia,F,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,1320,1473,100.00%,111,bc1152--bc1171,ITS,Late May,2020-05-18,Mattawa,C,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,19,2,99.90%,123,bc1152--bc1191,ITS,Late May,2020-05-18,Mattawa,D,Russian thistle,F,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,40,2,99.40%,127,bc1152--bc1173,ITS,Late May,2020-05-18,Othello,F,Kochia,F,0,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,22,2,99.90%,153,bc1152--bc1155,ITS,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,230,6,99.40%,190,bc1153--bc1171,ITS,Late May,2020-05-27,Pasco,M,Kochia,F,1,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,39,2,99.30%,193,bc1153--bc1172,ITS,Late May,2020-05-27,Pasco,M,Kochia,F,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,156,5,99.90%,199,bc1153--bc1173,ITS,Late May,2020-05-27,Pasco,M,Russian thistle,F,1,1,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,1766,934,100.00%,201,bc1153--bc1154,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,2189,615,100.00%,211,bc1153--bc1155,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,225,26,99.50%,217,bc1140--bc1153,ITS,Early June,2020-06-03,Moxee,A,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,129,20,98.10%,227,bc1153--bc1189,ITS,Early June,2020-06-03,Moxee,A,Russian thistle,F,0,0,1,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,1,13,88.80%,405,bc1120--bc1143,trnF,Early June,2020-06-12,Paterson,J,Tumble mustard,F,1,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,231,837,100.00%,405,bc1135--bc1171,ITS,Early June,2020-06-12,Paterson,J,Tumble mustard,F,1,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,78,2,99.40%,16,bc1150--bc1173,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,1578,742,99.50%,46,bc1146--bc1173,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,,1,0,0,RADseq
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,38,2,99.80%,84,bc1146--bc1155,ITS,Late May,2020-05-18,Mattawa,B,Russian thistle,,1,1,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,4,2,99.00%,0,bc1146--bc1192,,,,,,,,,,,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,3,2,99.50%,0,bc1153--bc1191,,,,,,,,,,,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,1,10,99.50%,0,bc1190--bc1299,,,,,,,,,,,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,2,7,100.00%,0,bc1190--bc1299,,,,,,,,,,,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,3,2,99.00%,0,bc1190--bc1299,,,,,,,,,,,
Weed,Asteraceae,Coneflower,Echinacea,Echinacea purpurea,7,4,100.00%,12,bc1103--bc1120,trnF,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,RADseq
Weed,Asteraceae,Horseweed,Erigeron,Erigeron canadensis,41,47,99.30%,39,bc1106--bc1109,trnF,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,1,1,0,RADseq
Weed,Asteraceae,Fleabane,Erigeron,Erigeron leptorhizon,52,15,99.30%,39,bc1146--bc1190,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,1,1,0,RADseq
Weed,Geraniaceae,stork's bill,Erodium,Erodium carvifolium,9,5,99.10%,153,bc1107--bc1111,trnF,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Weed,Geraniaceae,stork's bill,Erodium,Erodium carvifolium,5,22,99.10%,16,bc1103--bc1110,trnF,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Weed,Geraniaceae,redstem filaree,Erodium,Erodium cicutarium,350,190,99.80%,171,bc1140--bc1152,ITS,Late May,2020-05-27,Paterson,J,Russian thistle,M,0,0,1,
Weed,Geraniaceae,redstem filaree,Erodium,Erodium cicutarium,53,2,99.10%,9,bc1150--bc1171,ITS,Late April,2020-04-22,Pasco,WSU,Tumble mustard,F,0,0,0,RADseq
Weed,Geraniaceae,redstem filaree,Erodium,Erodium cicutarium,1566,2357,99.10%,10,bc1150--bc1172,ITS,Late April,2020-04-22,Pasco,WSU,Filaree,F,1,0,0,
Weed,Geraniaceae,redstem filaree,Erodium,Erodium cicutarium,14,4,99.70%,153,bc1152--bc1155,ITS,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Weed,Geraniaceae,redstem filaree,Erodium,Erodium cicutarium,96,20,98.50%,182,bc1152--bc1189,ITS,Late May,2020-05-27,Pasco,N,Tumble mustard,F,1,1,0,RADseq
Crop,Polygonaceae,Buckwheat,Fagopyrum,Fagopyrum esculentum,25,2,100.00%,655,bc1144--bc1176,trnF,Early August,2020-08-12,Othello,F,Russian thistle,M,0,0,0,RADseq
Grass,Poaceae,Meadow Fescue,Festuca,Festuca pratensis,19,6,99.60%,552,bc1114--bc1169,trnF,Early July,2020-07-01,Mattawa,B,Russian thistle,F,0,0,0,RADseq
Tree,Oleaceae,Ash,Fraxinus,Fraxinus angustifolia,13,157,100.00%,482,bc1110--bc1144,trnF,Late June,2020-06-17,Othello,F,Russian thistle,F,1,0,0,RADseq
Crop,Fabaceae,soybean,Glycine,Glycine max,16,2,99.70%,12,bc1150--bc1191,ITS,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,RADseq
Crop,Fabaceae,soybean,Glycine,Glycine max,1055,555,99.60%,16,bc1150--bc1173,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Crop,Fabaceae,soybean,Glycine,Glycine soja,10,6,99.80%,16,bc1103--bc1110,trnF,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Crop,Poaceae,Barley,Hordeum,Hordeum vulgare,1,14,100.00%,199,bc1097--bc1108,trnF,Late May,2020-05-27,Pasco,M,Russian thistle,F,1,1,0,
Tree,Juglandaceae,English walnut,Juglans,Juglans regia,2,16,100.00%,11,bc1103--bc1114,trnF,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,
Tree,Juglandaceae,English walnut,Juglans,Juglans regia,7,2,100.00%,23,bc1099--bc1106,trnF,Late May,2020-05-18,Moxee,A,Kochia,F,0,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,3,7,97.10%,15,bc1150--bc1192,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,M,0,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,1,31,97.10%,792,bc1124--bc1171,ITS,Late August,2020-08-27,Othello,E,Russian thistle,M,0,1,0,Faintly positive for bctv
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,64,68,97.10%,9,bc1150--bc1171,ITS,Late April,2020-04-22,Pasco,WSU,Tumble mustard,F,0,0,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2,4,97.10%,11,bc1150--bc1190,ITS,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,10,11,97.30%,28,bc1146--bc1171,ITS,Late May,2020-05-18,Moxee,A,Kochia,F,0,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,65,39,96.60%,39,bc1146--bc1190,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,1,1,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,37,2,97.00%,111,bc1152--bc1171,ITS,Late May,2020-05-18,Mattawa,C,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,45,5,97.10%,113,bc1152--bc1172,ITS,Late May,2020-05-18,Mattawa,C,Russian thistle,F,1,1,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,7,4,97.10%,123,bc1152--bc1191,ITS,Late May,2020-05-18,Mattawa,D,Russian thistle,F,0,1,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2131,2539,97.10%,124,bc1152--bc1192,ITS,Late May,2020-05-18,Mattawa,D,Russian thistle,F,0,0,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,5,12,97.10%,127,bc1152--bc1173,ITS,Late May,2020-05-18,Othello,F,Kochia,F,0,0,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,1843,909,97.10%,137,bc1152--bc1154,ITS,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,174,29,96.60%,190,bc1153--bc1171,ITS,Late May,2020-05-27,Pasco,M,Kochia,F,1,0,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2290,464,96.30%,198,bc1153--bc1192,ITS,Late May,2020-05-27,Pasco,M,Russian thistle,F,0,0,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2900,1141,97.10%,199,bc1153--bc1173,ITS,Late May,2020-05-27,Pasco,M,Russian thistle,F,1,1,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,51,2,96.00%,211,bc1153--bc1155,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,1,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,1702,233,97.10%,227,bc1153--bc1189,ITS,Early June,2020-06-03,Moxee,A,Russian thistle,F,0,0,1,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2,3,96.80%,508,bc1133--bc1190,ITS,Late June,2020-06-25,Pasco,M,Kochia,F,0,1,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,5,181,96.80%,509,bc1133--bc1191,ITS,Late June,2020-06-25,Pasco,M,Kochia,F,0,0,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,1,19,97.30%,518,bc1133--bc1154,ITS,Late June,2020-06-25,Pasco,M,Russian thistle,F,1,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2,19,97.10%,518,bc1133--bc1154,ITS,Late June,2020-06-25,Pasco,M,Russian thistle,F,1,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,9,35,97.10%,549,bc1133--bc1155,ITS,Early July,2020-07-01,Moxee,A,Russian thistle,F,1,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,4,38,97.10%,550,bc1133--bc1140,ITS,Early July,2020-07-01,Mattawa,B,Russian thistle,F,1,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,1,33,97.10%,568,bc1134--bc1191,ITS,Late July,2020-07-15,Moxee,A,Russian thistle,F,1,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,3,137,97.10%,587,bc1134--bc1155,ITS,Late July,2020-07-15,Othello,E,Russian thistle,F,1,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2,6,97.10%,614,bc1134--bc1140,ITS,Late July,2020-07-16,Paterson,J,Russian thistle,F,1,1,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,15,646,97.10%,827,bc1124--bc1172,ITS,Early October,2020-10-02,Moxee,A,Kochia,F,0,1,0,Faintly positive for bctv
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,1145,490,95.40%,16,bc1150--bc1173,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,5,7,97.10%,17,bc1150--bc1154,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,1,1,0,Extracted by Gina
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,499,189,96.00%,46,bc1146--bc1173,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,,1,0,0,RADseq
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,247,151,95.60%,84,bc1146--bc1155,ITS,Late May,2020-05-18,Mattawa,B,Russian thistle,,1,1,0,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2772,1888,97.10%,122,bc1152--bc1190,ITS,Late May,2020-05-18,Mattawa,D,Russian thistle,,1,1,0,Extracted by Gina
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,,41,97.00%,0,bc1009--bc1152,,,,,,,,,,,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,2,4,96.80%,0,bc1146--bc1192,,,,,,,,,,,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,3,3,97.30%,0,bc1146--bc1192,,,,,,,,,,,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,28,,97.20%,0,bc1152--bc1310,,,,,,,,,,,
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,3,10,97.40%,0,bc1153--bc1310,,,,,,,,,,,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,30,108,100.00%,12,bc1103--bc1120,trnF,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,RADseq
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,7,5,100.00%,496,bc1097--bc1105,trnF,Late June,2020-06-25,Paterson,I,Russian thistle,F,0,0,0,RADseq
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,9,5,100.00%,568,bc1103--bc1176,trnF,Late July,2020-07-15,Moxee,A,Russian thistle,F,1,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,3,4,100.00%,582,bc1175--bc1176,trnF,Late July,2020-07-15,Othello,E,Kochia,F,0,1,0,RADseq
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,2,6,100.00%,626,bc1142--bc1176,trnF,Early August,2020-08-12,Moxee,A,Kochia,F,0,0,1,Faintly positive for s citri
Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,70,26,98.10%,41,bc1146--bc1191,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Tree,Lythraceae,Myrtle,Lagerstroemia,Lagerstroemia suprareticulata,3,6,100.00%,482,bc1110--bc1144,trnF,Late June,2020-06-17,Othello,F,Russian thistle,F,1,0,0,RADseq
