BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV,CPt,S_citri
L5,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,20,bc1137,i,bc1191 ,7,3,4,July,2022,44762,Prosser,Q2-Ger,geraniol,Cannabis,45209,128.6,2.09,1.95,1,0,0
L5,Grass,Poaceae,Barnyard grass,Echinochloa,Echinochloa oryzoides,ITS,20,bc1137,i,bc1191 ,14,6,4,July,2022,44762,Prosser,Q2-Ger,geraniol,Cannabis,45209,128.6,2.09,1.95,1,0,0
L5,Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,ITS,20,bc1137,i,bc1191 ,3,13,4,July,2022,44762,Prosser,Q2-Ger,geraniol,Cannabis,45209,128.6,2.09,1.95,1,0,0
L5,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,20,bc1137,i,bc1191 ,6,3,4,July,2022,44762,Prosser,Q2-Ger,geraniol,Cannabis,45209,128.6,2.09,1.95,1,0,0
L5,Nightshade,Solanaceae,Bittersweet nightshade,Solanum,Solanum dulcamara,ITS,20,bc1137,i,bc1191 ,10,2,4,July,2022,44762,Prosser,Q2-Ger,geraniol,Cannabis,45209,128.6,2.09,1.95,1,0,0
L5,Weed,Scrophulariaceae,Mullein,Verbascum,Verbascum thapsus,ITS,20,bc1137,i,bc1191 ,5,67,4,July,2022,44762,Prosser,Q2-Ger,geraniol,Cannabis,45209,128.6,2.09,1.95,1,0,0
L6,Weed,Amaranthaceae,Amaranth,Blitum,Blitum petiolare,ITS,20,bc1137,R,bc1173 ,1,17,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,137.8,2.06,2.41,1,1,0
L6,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,20,bc1137,R,bc1173 ,2,6,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,137.8,2.06,2.41,1,1,0
L6,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,20,bc1137,R,bc1173 ,7,7,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,137.8,2.06,2.41,1,1,0
L6,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,20,bc1137,R,bc1173 ,6,2,4,July,2022,44762,Prosser,Q3-Lin,linalool,Cannabis,45211,137.8,2.06,2.41,1,1,0
